,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Khach hang 24,2.2986,2.4247,7.6470,5.7488,6.8867,5.4676,4.6728,5.3348,1.9344,2.2148,1.3911,6.6775,1.8506,8.1248,1.4469,7.6751,7.6236,4.3787,6.2687,7.1897,8.7512,6.1055,6.6503,5.9968,0.0000,9.5883,5.5569,1.8603,9.9707,6.1750,4.8673,6.6433,9.9707,5.4099,4.1197,2.9949,7.1751,7.1825,6.6503,4.0767,7.1313,9.0116,7.8055,5.5710,7.4947,4.0474,2.7765,9.1844,3.0421,5.4361,5.1751,1.9462,3.0152,5.1844,6.4309,9.9707,8.9015,1.2933,9.6856,6.5483,9.4953,10.0339,6.7543,6.1750,0.9342,3.9126,6.7223,6.6503,7.1825,9.6087,7.5699,8.1171,8.2530,8.7894,4.7369,3.4501,4.5352,5.7542,2.7046,5.6853,7.7461,4.8401,2.7582,4.0662,1.0254,6.1377,3.4285,2.2994,7.6002,9.5883,6.5483,1.5362,3.7687,9.5366,8.7077,4.2992,7.1825,3.6315,2.0168,9.1886,1.9302
Khach hang 25,9.4340,10.3937,3.9574,9.4063,8.7519,9.8317,6.3787,5.8071,9.4708,9.3411,11.4735,10.3350,11.9330,3.5933,10.1537,4.9743,4.9228,8.9187,9.9262,7.6760,3.5105,6.7130,12.0693,7.5345,10.8586,0.0000,11.5371,9.4800,0.4205,6.8066,11.3868,10.4277,0.4205,6.4858,7.7794,8.8234,7.6172,8.6974,12.0693,7.2118,7.6407,0.6890,3.4197,6.7608,4.7939,9.7435,11.2875,2.4965,9.8081,9.0399,9.5393,10.4264,9.6561,9.5485,11.8430,0.4205,1.3827,10.9243,1.5683,9.3683,2.2853,0.4837,8.6196,6.8066,10.2426,7.2848,8.1117,12.0693,8.6974,0.7142,4.8691,3.6010,3.7369,2.8948,8.2833,10.4163,9.2557,5.7347,8.3758,11.1068,1.8422,7.0416,9.0144,7.6028,10.2739,6.8179,8.9710,8.9975,2.3588,0.0000,9.3683,11.0915,9.6253,2.1807,2.4806,7.3032,8.6974,10.5978,9.8696,2.2376,12.2081
Khach hang 26,4.2598,6.1351,7.8535,2.5086,4.8068,7.6795,5.5692,6.0143,4.3089,5.1995,6.3869,2.3659,6.8464,8.3313,5.1574,8.3546,8.3031,3.0239,2.1172,8.9420,8.9577,6.5422,2.5766,5.3056,5.5534,9.7948,0.0000,5.2677,10.1772,6.9692,1.5559,8.8552,10.1772,5.8465,5.6272,3.3565,8.0715,5.1027,2.5766,4.5134,8.0277,9.2181,8.0120,4.9475,8.1742,6.6520,4.0466,9.3909,5.9680,6.8877,7.3871,3.7095,5.8870,7.3963,2.3572,10.1772,9.1080,5.8453,9.8921,8.6182,9.7017,10.2404,4.6745,6.9692,4.7221,4.3492,7.6187,2.5766,5.1027,9.8152,8.2494,8.3235,8.4595,8.9959,3.3821,2.7584,7.1035,5.9607,4.8153,0.6254,7.9526,5.2768,3.9824,4.5028,4.7759,7.0341,2.7596,3.7315,7.8067,9.7948,8.6182,6.2171,6.1541,9.7431,8.9142,4.7358,5.1027,2.5759,5.6718,9.3950,7.1214
Khach hang 27,1.5491,1.4319,6.5221,5.4173,6.5552,3.7824,3.3090,3.9710,1.1849,0.5296,2.1685,6.3460,2.6280,7.7933,0.8487,6.3113,6.2598,4.0472,5.9372,5.8259,8.4197,4.8980,6.3188,5.6653,1.8408,9.2568,5.2254,0.0000,9.6392,4.8113,4.5358,4.9580,9.6392,4.1977,2.7560,2.6634,5.8113,6.8510,6.3188,3.6760,5.7676,8.6801,7.1451,5.2395,6.1309,2.3621,4.2082,8.8529,1.3568,4.0723,3.4899,3.0665,1.3300,3.4991,6.0994,9.6392,8.5700,1.6193,9.3541,5.2065,9.1638,9.7024,6.4228,4.8113,1.8859,3.4883,5.3586,6.3188,6.8510,9.2772,6.2061,7.7856,7.9215,8.4579,4.4054,3.7620,2.8500,5.4227,1.5762,5.3538,7.4146,4.5086,2.0088,2.7449,1.9172,4.7740,3.0970,1.9679,7.2687,9.2568,5.2065,1.9910,2.0835,9.2051,8.3762,3.3412,6.8510,3.9435,0.8700,8.8571,2.9031
Khach hang 28,9.7926,10.7523,4.3160,9.7649,9.1105,10.1903,6.7373,6.1657,9.8294,9.6997,11.8321,10.6936,12.2916,3.9519,10.5123,5.3329,5.2814,9.2773,10.2848,8.0346,3.8691,7.0716,12.4279,7.8931,11.2173,0.4205,11.8957,9.8387,0.0000,7.1652,11.7454,10.7863,0.0000,6.8444,8.1380,9.1820,7.9758,9.0560,12.4279,7.5704,7.9993,0.9704,3.7783,7.1194,5.1525,10.1022,11.6462,2.8552,10.1667,9.3985,9.8979,10.7850,10.0147,9.9071,12.2016,0.0000,1.8033,11.2829,1.5769,9.7269,2.6439,0.1496,8.9782,7.1652,10.6013,7.6435,8.4703,12.4279,9.0560,0.6553,5.2277,3.9596,4.0955,3.2534,8.6419,10.7749,9.6143,6.0933,8.7344,11.4654,2.2008,7.4002,9.3730,7.9614,10.6326,7.1765,9.3296,9.3562,2.7174,0.4205,9.7269,11.4502,9.9840,2.5393,2.8393,7.6619,9.0560,10.9564,10.2282,2.5962,12.5667
Khach hang 29,4.7483,5.7080,3.9246,5.7495,5.5032,4.4741,1.6930,1.4689,4.7852,4.6554,6.7878,6.6782,7.2473,5.3879,5.4680,1.8323,1.8838,4.8538,6.2694,2.4067,6.0142,2.7034,8.4125,4.2858,6.1730,6.8514,6.9661,4.7944,7.2338,0.0000,6.8158,5.6498,7.2338,2.4478,2.4218,4.2524,1.5362,5.4487,8.4125,2.6408,1.4924,6.2747,4.4983,3.5121,2.0127,4.3859,6.7165,6.4474,5.1224,3.3525,4.1817,5.8553,4.9704,4.1909,8.1862,7.2338,6.1646,6.2386,6.9487,3.9025,6.7583,7.2970,5.3709,0.0000,5.5570,2.7138,1.4763,8.4125,5.4487,6.8717,1.9375,5.3801,5.2041,6.0524,4.6734,5.8453,3.8981,3.4705,3.6901,7.4500,5.0092,3.0420,4.4244,2.9171,5.5883,0.1825,4.3999,4.4265,4.8633,6.8514,3.9025,6.4059,4.9397,6.7996,5.9708,2.6176,5.4487,6.0267,5.1839,6.4516,7.5224
Khach hang 30,4.1504,5.6289,7.7946,2.8762,5.1744,7.6207,5.5103,5.9554,3.8027,4.6868,5.8807,2.7335,6.3402,8.2724,4.6512,8.2957,8.2442,2.9650,2.4849,8.8831,8.8988,6.4833,2.3344,5.2467,5.0472,9.7359,1.4734,4.7615,10.1183,6.9103,0.0000,8.7963,10.1183,5.7876,5.5683,3.2976,8.0126,5.4703,2.3344,4.4545,7.9689,9.1592,7.9531,4.8886,8.1153,6.6738,3.5441,9.3320,5.6685,6.8289,7.3282,3.2033,5.6416,7.3374,2.1150,10.1183,9.0491,5.3391,9.8332,8.5593,9.6429,10.1815,5.0421,6.9103,4.2159,4.2903,7.5599,2.3344,5.4703,9.7563,8.1905,8.2647,8.4006,8.9370,3.3232,2.1814,7.0446,5.9018,4.7564,1.3695,7.8937,5.2179,3.9236,4.4440,4.2697,6.9753,2.7008,3.3382,7.7478,9.7359,8.5593,5.7109,6.0952,9.6842,8.8553,4.6769,5.4703,1.9989,5.1656,9.3362,6.6152
Khach hang 31,5.3584,5.5839,7.5457,7.6301,8.7037,1.3834,4.8139,5.4760,5.3953,4.8278,6.9602,8.5588,7.1041,9.0090,5.5740,5.4534,5.5049,6.7344,8.1500,3.4555,9.6354,6.4030,10.2931,7.6578,6.6325,10.4725,8.8466,4.9667,10.8549,5.6443,8.6964,0.0000,10.8549,5.7027,3.8240,6.1329,3.8175,8.9996,10.2931,5.1810,3.8613,9.8958,8.1194,7.2320,5.6338,2.5959,8.5971,10.0686,4.4501,2.6871,1.4681,7.2769,4.2083,1.4773,10.0668,10.8549,9.7857,6.4110,10.5698,1.4721,10.3794,10.9181,8.5714,5.6443,6.1671,5.0904,5.1377,10.2931,8.9996,10.4928,5.5586,9.0012,8.8252,9.6736,6.5540,7.7258,2.1080,7.4152,4.3002,9.3306,8.6303,6.1960,5.2422,4.6954,6.1984,5.4899,6.2805,6.0662,8.4844,10.4725,1.4721,6.2817,4.3812,10.4208,9.5919,4.8461,8.9996,7.9073,5.0598,10.0727,7.3792
Khach hang 32,9.7926,10.7523,4.3160,9.7649,9.1105,10.1903,6.7373,6.1657,9.8294,9.6997,11.8321,10.6936,12.2916,3.9519,10.5123,5.3329,5.2814,9.2773,10.2848,8.0346,3.8691,7.0716,12.4279,7.8931,11.2173,0.4205,11.8957,9.8387,0.0000,7.1652,11.7454,10.7863,0.0000,6.8444,8.1380,9.1820,7.9758,9.0560,12.4279,7.5704,7.9993,0.9704,3.7783,7.1194,5.1525,10.1022,11.6462,2.8552,10.1667,9.3985,9.8979,10.7850,10.0147,9.9071,12.2016,0.0000,1.8033,11.2829,1.5769,9.7269,2.6439,0.1496,8.9782,7.1652,10.6013,7.6435,8.4703,12.4279,9.0560,0.6553,5.2277,3.9596,4.0955,3.2534,8.6419,10.7749,9.6143,6.0933,8.7344,11.4654,2.2008,7.4002,9.3730,7.9614,10.6326,7.1765,9.3296,9.3562,2.7174,0.4205,9.7269,11.4502,9.9840,2.5393,2.8393,7.6619,9.0560,10.9564,10.2282,2.5962,12.5667
Khach hang 33,3.9685,5.0945,3.5110,4.7632,4.1067,4.5325,1.0795,0.9812,4.1716,4.0419,6.1743,5.6919,6.6338,4.6694,4.8544,3.3002,3.2487,3.8675,5.2831,5.1134,5.2958,1.4634,7.4262,2.8893,5.5594,6.1329,5.9798,4.1808,6.5153,2.4478,5.8295,5.7082,6.5153,0.0000,2.4802,3.2661,3.9840,4.0522,7.4262,1.6545,3.9402,5.5562,4.1340,2.1156,3.1198,4.4443,5.7302,5.7290,4.5088,3.7407,4.2400,4.8690,4.3569,4.2493,7.1999,6.5153,5.4461,5.6251,6.2302,5.4711,6.0399,6.5785,3.9743,2.4478,4.9434,1.7275,3.5980,7.4262,4.0522,6.1533,3.1950,4.6617,4.7976,5.3340,3.6381,4.8590,3.9565,2.2747,3.0766,6.4637,4.2907,0.7617,3.4571,2.3036,4.7921,2.5463,3.4136,3.4402,4.1448,6.1329,5.4711,5.7923,4.3261,6.0812,5.2523,1.7395,4.0522,5.0404,4.5704,5.7332,6.9089
Khach hang 34,2.6930,3.6527,4.8046,4.4076,5.4812,2.6538,1.5914,2.2535,2.7298,2.6001,4.7325,5.3363,5.1920,6.3171,3.4127,4.1110,4.1625,3.5119,4.9275,4.2339,6.9435,3.1805,7.0706,4.4353,4.1177,7.7807,5.6241,2.7391,8.1631,2.4218,5.4739,3.8295,8.1631,2.4802,0.0000,2.9104,3.3048,5.7771,7.0706,1.9585,3.2610,7.2039,5.4276,4.0095,4.4134,2.5657,5.3746,7.3767,3.0671,1.8620,2.3614,4.5134,2.9151,2.3706,6.8443,8.1631,7.0938,4.1833,7.8779,3.5925,7.6876,8.2262,5.3489,2.4218,3.5016,1.8679,2.8520,7.0706,5.7771,7.8010,4.4886,6.3094,6.1931,6.9817,3.3315,4.5033,2.0778,4.1927,1.6348,6.1081,5.9384,2.9735,2.3690,1.2961,3.5330,2.2674,3.0580,3.0846,5.7925,7.7807,3.5925,4.3506,2.8844,7.7289,6.9000,1.6236,5.7771,4.6848,3.1286,7.3809,5.4671
Khach hang 35,1.6006,3.7834,5.3799,3.2897,4.4276,4.9758,2.8654,3.3105,1.8210,2.5403,4.0352,4.2184,4.4947,5.8577,2.8056,5.6509,5.5994,1.9196,3.8096,6.2383,6.4841,3.8384,4.9894,3.5723,3.2017,7.3213,3.3567,2.9160,7.7037,4.2654,3.2065,6.1515,7.7037,3.1428,2.9235,0.0000,5.3678,4.7234,4.9894,1.8096,5.3240,6.7446,5.5385,3.3039,5.4704,3.9928,3.1072,6.9173,3.3087,4.1840,4.6834,2.1930,3.2278,4.6926,4.7700,7.7037,6.6344,3.4936,7.4186,5.9144,7.2282,7.7668,4.2953,4.2654,2.4910,1.6455,4.9150,4.9894,4.7234,7.3416,5.5457,5.8500,5.9859,6.5223,2.2778,2.2359,4.3998,3.4871,2.1561,4.0245,5.4790,2.5730,1.0891,1.7991,2.4242,4.3304,0.9033,1.0723,5.3331,7.3213,5.9144,3.8653,3.4949,7.2695,6.4406,2.0321,4.7234,2.4174,3.3703,6.9215,4.7697
Khach hang 36,5.7484,6.7081,4.7351,6.8519,7.0394,3.2574,3.2292,3.0051,5.7852,5.6555,7.7879,7.7806,8.2474,6.1985,6.4681,2.6428,2.6943,5.9562,7.3718,0.8705,6.8248,4.2396,9.5149,5.8220,7.1731,7.6620,8.0684,5.7945,8.0444,1.5362,7.9182,3.8175,8.0444,3.9840,3.3048,5.3547,0.0000,6.9849,9.5149,4.1525,0.0438,7.0853,5.3089,5.0483,2.8233,4.0659,7.8189,7.2580,5.9200,3.0382,3.0457,6.9577,5.6783,3.0365,9.2886,8.0444,6.9752,7.2387,7.7593,2.3663,7.5689,8.1075,6.9071,1.5362,6.5570,4.2255,1.3202,9.5149,6.9849,7.6823,2.7480,6.1907,6.0147,6.8630,5.7758,6.9476,3.5780,5.0955,4.6902,8.5524,5.8197,4.5782,5.4244,3.9172,6.5884,1.5145,5.5023,5.5289,5.6738,7.6620,2.3663,7.4060,5.8512,7.6102,6.7813,3.9582,6.9849,7.1291,6.1840,7.2622,8.5225
Khach hang 37,5.7241,7.7495,4.8855,2.7927,0.5605,7.8294,4.7723,4.2007,5.9446,6.6638,8.0013,3.7054,8.4608,5.3633,6.7718,5.9427,5.8912,3.0810,3.2505,7.9137,5.9897,4.1290,5.4397,3.5230,7.1678,6.8268,5.1027,6.8821,7.2092,5.4487,5.6445,9.0050,7.2092,4.4084,5.7771,4.7234,6.9849,0.0000,5.4397,4.6632,6.9411,6.2501,5.0440,2.4341,5.7623,7.7412,5.5690,6.4229,7.4323,7.0376,7.5369,5.3239,7.3513,7.5462,5.2134,7.2092,6.1400,7.4597,6.9241,8.7680,6.7337,7.2724,0.4282,5.4487,6.3365,4.4990,6.8976,5.4397,0.0000,6.8472,5.8376,5.3556,5.4915,6.0279,2.4456,4.6978,7.2534,2.9927,6.2796,4.4772,4.9846,3.7562,5.2127,4.6527,6.3903,5.6000,4.2761,5.1958,4.8387,6.8268,8.7680,7.8314,7.5259,6.7751,5.9462,4.8857,0.0000,4.8793,7.2862,6.4271,8.7358
Khach hang 38,6.6703,8.5456,8.2573,2.8457,5.1439,9.1229,7.0125,7.4576,6.7194,7.6100,8.7974,2.7030,9.2569,8.7352,7.5678,9.3146,9.2631,4.3103,2.4543,10.3854,9.3616,7.5009,0.0000,5.8633,7.9639,10.1987,2.5475,7.6782,10.5811,8.4125,3.9664,10.2986,10.5811,7.2899,7.0706,5.7669,9.5149,5.4397,0.0000,5.9568,9.4711,9.6220,8.4159,5.3514,9.1342,9.0348,6.4571,9.7947,8.3784,8.3311,8.8305,6.1200,8.2975,8.8397,0.5372,10.5811,9.5119,8.2557,10.2960,10.0615,10.1056,10.6443,5.0116,8.4125,7.1326,5.7926,9.0621,0.0000,5.4397,10.2190,9.2094,8.7274,8.8633,9.3998,3.8593,5.1688,8.5469,6.3646,7.2258,2.2339,8.3565,6.7201,6.5062,5.9462,7.1864,8.4775,5.1701,6.1420,8.2106,10.1987,10.0615,8.6275,8.5646,10.1469,9.3181,6.1792,5.4397,4.9864,8.0823,9.7989,9.5319
Khach hang 39,2.4991,4.5727,4.2370,3.2937,4.3674,4.0108,1.1930,1.6859,2.7195,3.4387,4.9336,4.2224,5.3931,5.2522,3.7041,4.0262,3.9747,2.3981,3.8137,5.0229,5.8786,2.6129,5.9568,3.3214,4.1001,6.7157,4.5103,3.6591,7.0981,2.6408,4.3600,5.1864,7.0981,1.6545,1.9585,1.7966,4.1525,4.6632,5.9568,0.0000,4.1087,6.1390,4.8600,2.6984,3.8458,3.9226,4.2607,6.3117,3.9871,3.2190,3.7183,3.3996,3.8352,3.7275,5.7304,7.0981,6.0289,4.3920,6.8130,4.9494,6.6226,7.1613,4.2351,2.6408,3.3895,0.2580,3.6997,5.9568,4.6632,6.7360,3.9210,5.2444,5.3803,5.9168,2.2176,3.3895,3.4347,2.8575,2.5548,4.9942,4.8735,1.5616,1.9876,0.9076,3.3226,2.7393,1.9442,1.9707,4.7276,6.7157,4.9494,4.7638,3.8044,6.6639,5.8351,0.4075,4.6632,3.5710,4.0486,6.3159,5.6682
Khach hang 40,5.7046,6.6643,4.7587,6.8081,6.9956,3.3012,3.1854,2.9613,5.7414,5.6117,7.7441,7.7368,8.2036,6.2220,6.4243,2.6664,2.7179,5.9124,7.3280,0.9143,6.8484,4.1958,9.4711,5.7782,7.1293,7.6855,8.0246,5.7507,8.0679,1.4924,7.8744,3.8613,8.0679,3.9402,3.2610,5.3109,0.0438,6.9411,9.4711,4.1087,0.0000,7.1088,5.3325,5.0045,2.8468,4.1097,7.7751,7.2816,5.9638,3.0820,3.0895,6.9139,5.7221,3.0803,9.2448,8.0679,6.9987,7.1949,7.7828,2.4101,7.5924,8.1311,6.8633,1.4924,6.5133,4.1817,1.2764,9.4711,6.9411,7.7059,2.7716,6.2143,6.0383,6.8866,5.7320,6.9038,3.6218,4.9629,4.6464,8.5086,5.8433,4.5344,5.3806,3.8734,6.5446,1.4707,5.4585,5.4851,5.6974,7.6855,2.4101,7.3622,5.8950,7.6338,6.8049,3.9144,6.9411,7.0853,6.1402,7.2858,8.4787
Khach hang 41,8.8573,9.8170,3.3807,8.8296,8.1752,9.2550,5.8020,5.2304,8.8941,8.7644,10.8968,9.7583,11.3563,3.0166,9.5769,4.3976,4.3461,8.3420,9.3495,7.0993,2.9338,6.1363,11.4926,6.9578,10.2819,0.6890,10.9604,8.9033,0.9704,6.2299,10.8101,9.8510,0.9704,5.9091,7.2027,8.2467,7.0404,8.1207,11.4926,6.6351,7.0640,0.0000,2.8430,6.1841,4.2172,9.1668,10.7108,1.9198,9.2313,8.4632,8.9626,9.8497,9.0794,8.9718,11.2663,0.9704,1.3642,10.3476,0.9916,8.7916,1.7086,1.0336,8.0429,6.2299,9.6659,6.7081,7.5350,11.4926,8.1207,0.6101,4.2924,3.0243,3.1602,2.3180,7.7066,9.8396,8.6790,5.1580,7.7991,10.5301,1.2655,6.4649,8.4377,7.0261,9.6972,6.2412,8.3943,8.4208,1.7820,0.6890,8.7916,10.5148,9.0486,1.6040,1.9039,6.7265,8.1207,10.0210,9.2929,1.6609,11.6314
Khach hang 42,7.0749,8.0346,1.5984,7.0472,6.3928,7.4726,4.0196,3.4480,7.1118,6.9820,9.1145,7.9759,9.5740,1.2394,7.7946,2.6153,2.5638,6.5596,7.5671,5.3170,1.8658,4.3540,9.7103,5.1754,8.4996,3.4137,9.1780,7.1210,3.7961,4.4475,9.0278,8.0687,3.7961,4.1267,5.4203,6.4643,5.2581,6.3384,9.7103,4.8528,5.2817,2.8370,0.0000,4.4018,2.4348,7.3845,8.9285,2.2990,7.4490,6.6808,7.1802,8.0673,7.2970,7.1894,9.4839,3.7961,2.7269,8.5652,3.5110,7.0093,2.8190,3.8593,6.2605,4.4475,7.8836,4.9258,5.7526,9.7103,6.3384,3.4340,2.5101,1.3001,1.0591,1.9040,5.9242,8.0572,6.8966,3.3756,6.0167,8.7477,1.5715,4.6826,6.6553,5.2437,7.9149,4.4588,6.6119,6.6385,1.4256,3.4137,7.0093,8.7325,7.2663,2.7722,2.0888,4.9442,6.3384,8.2387,7.5105,2.9251,9.8490
Khach hang 43,3.9627,6.1455,2.9489,2.6884,2.1470,6.0679,2.8357,2.2641,4.1831,4.9024,6.3972,3.6171,6.8567,3.4267,5.1677,4.0061,3.9546,2.2007,3.2083,5.9771,4.0531,2.1924,5.3514,1.5864,5.5637,4.8902,4.9146,5.2781,5.2726,3.5121,4.7643,7.2436,5.2726,2.4718,4.0156,3.2602,5.0483,2.4429,5.3514,2.9018,5.0045,4.3135,3.1074,0.0000,3.8257,5.9798,4.6888,4.4863,5.6708,5.2761,5.7755,4.4437,5.5899,5.7847,5.1251,5.2726,4.2034,5.8556,4.9875,7.0066,4.7971,5.3358,2.0147,3.5121,4.8531,2.7376,4.9610,5.3514,2.4429,4.9106,3.9010,3.4190,3.5549,4.0913,1.5654,3.8176,5.4919,1.0561,4.5182,4.3888,3.0480,1.8196,3.4512,2.8912,4.7863,3.6634,3.4078,3.4344,2.9021,4.8902,7.0066,6.2274,5.7645,4.8385,4.0096,3.1242,2.4429,3.9991,5.7324,4.4905,7.1318
Khach hang 44,6.0680,7.0277,1.9119,6.4712,5.8168,5.4882,3.0127,2.4411,6.1048,5.9751,8.1075,7.3999,8.5670,3.3752,6.7876,0.1804,0.1289,6.0588,6.9911,2.8821,4.0016,3.3470,9.1342,4.5994,7.4926,4.8387,8.1711,6.1140,5.2211,2.0127,8.0208,5.6338,5.2211,3.1198,4.4134,5.4574,2.8233,5.7623,9.1342,3.8458,2.8468,4.2620,2.4856,3.8257,0.0000,6.3775,7.9215,4.4347,6.4420,5.2690,5.2765,7.0603,6.2901,5.2673,8.9079,5.2211,4.1519,7.5583,4.9360,4.5744,4.7456,5.2843,5.6845,2.0127,6.8766,3.9188,3.3178,9.1342,5.7623,4.8590,0.0752,3.3674,3.1914,4.0398,5.3482,7.0503,5.8897,3.1577,5.0098,8.1717,2.9965,3.6756,5.6484,4.2368,6.9079,2.0240,5.6050,5.6315,2.8506,4.8387,4.5744,7.7255,6.2593,4.7869,3.9581,3.9372,5.7623,7.2317,6.5036,4.4389,8.8421
Khach hang 45,3.1029,2.9879,6.7761,6.3791,7.4527,1.4202,3.5629,4.2250,3.1058,2.2319,4.3643,7.3078,4.5082,8.2886,2.9781,6.1213,6.1728,5.3398,6.8990,3.7525,8.9150,5.1520,8.2397,6.4068,4.0366,9.7522,6.6443,2.3708,10.1346,4.3933,6.4568,2.5959,10.1346,4.4517,2.5730,3.7573,4.1146,7.7486,8.2397,3.9300,4.1584,9.1754,7.3991,5.9810,6.3849,0.0000,6.4040,9.3482,1.8541,1.9989,1.1278,4.9875,1.6124,1.1370,8.0203,10.1346,9.0653,3.8151,9.8494,2.8443,9.6591,10.1977,7.3204,4.3933,3.8776,3.8394,4.8235,8.2397,7.7486,9.7725,6.2265,8.2809,8.1646,8.9532,5.3030,5.5235,0.4879,6.1642,2.2477,7.2748,7.9099,4.9450,3.0422,3.4444,3.9089,4.2389,4.1908,3.8107,7.7640,9.7522,2.8443,3.6858,1.7853,9.7004,8.8715,3.5951,7.7486,5.7049,2.4638,9.3524,4.7833
Khach hang 46,4.0014,4.7922,7.5950,4.1356,5.2734,7.4211,5.3107,5.7558,3.6132,4.5822,3.9979,5.0642,4.4574,8.0729,3.8144,8.0961,8.0446,2.7654,4.6555,8.6835,8.6992,6.2837,5.1498,5.0471,2.7765,9.5364,4.0699,4.2277,9.9188,6.7107,3.3669,8.5968,9.9188,5.5881,5.3688,3.0980,7.8131,5.5692,5.1498,4.2549,7.7693,8.9597,7.7536,4.6890,7.9157,6.4148,0.0000,9.1324,5.4095,6.6293,7.1286,1.7393,5.3827,7.1379,4.9304,9.9188,8.8496,3.6608,9.6337,8.3597,9.4433,9.9819,5.1411,6.7107,3.1241,4.0908,7.3603,5.1498,5.5692,9.5567,7.9909,8.0651,8.2010,8.7374,3.1237,1.3730,6.8451,5.7023,4.5568,4.1849,7.6941,5.0183,3.7240,4.2444,3.1176,6.7757,2.5012,3.1487,7.5482,9.5364,8.3597,3.9037,5.8956,9.4846,8.6558,4.4774,5.5692,1.5544,4.3842,9.1366,4.5795
Khach hang 47,9.0585,10.0183,3.5820,9.0309,8.3764,9.4563,6.0033,5.4316,9.0954,8.9656,11.0981,9.9595,11.5576,1.1151,9.7782,4.5989,4.5474,8.5432,9.5508,7.3006,1.0322,6.3376,11.6939,7.1591,10.4832,2.4820,11.1617,9.1046,2.8644,6.4312,11.0114,10.0523,2.8644,6.1104,7.4040,8.4480,7.2417,8.3220,11.6939,6.8364,7.2653,1.9053,2.2996,6.3854,4.4185,9.3681,10.9121,0.0000,9.4326,8.6645,9.1638,10.0509,9.2807,9.1730,11.4676,2.8644,1.7952,10.5488,2.1723,8.9929,0.5201,2.9276,8.2441,6.4312,9.8672,6.9094,7.7363,11.6939,8.3220,2.5023,4.4937,1.1228,1.2587,0.4165,7.9079,10.0408,8.8803,5.3593,8.0004,10.7313,1.6965,6.6662,8.6389,7.2274,9.8985,6.4425,8.5955,8.6221,1.8523,2.4820,8.9929,10.7161,9.2499,0.4732,0.6770,6.9278,8.3220,10.2223,9.4942,0.6261,11.8326
Khach hang 48,2.4524,1.5487,6.8173,6.0810,7.1546,3.2843,3.6041,4.2662,2.1269,1.3796,2.9966,7.0096,3.1452,8.2367,1.9593,6.6065,6.5550,4.6893,6.6009,5.6166,8.8631,5.1931,7.2608,6.1087,3.0577,9.7002,5.9938,1.3919,10.0826,5.1064,5.4779,4.4600,10.0826,4.4929,3.0511,3.1068,5.9787,7.4504,7.2608,3.9711,6.0225,9.1235,7.4403,5.6829,6.4261,1.8641,5.4251,9.2963,0.0000,3.8630,2.9919,4.0086,0.2812,3.0011,7.0414,10.0826,9.0134,2.5782,9.7975,4.7084,9.6071,10.1458,7.0223,5.1064,2.8987,3.7835,5.6537,7.2608,7.4504,9.7205,6.5013,8.2289,8.2058,8.9013,5.0049,4.7040,2.3519,5.8661,1.8713,6.2959,7.8580,4.9520,2.3917,3.0400,2.9300,5.0691,3.5404,2.9099,7.7121,9.7002,4.7084,2.2466,1.9075,9.6485,8.8196,3.6363,7.4504,4.8855,1.4451,9.3004,3.4202
